"행정구역","2026년04월_계_총인구수","2026년04월_계_연령구간인구수","2026년04월_계_65~69세","2026년04월_계_70~74세","2026년04월_계_75~79세","2026년04월_계_80~84세","2026년04월_계_85~89세","2026년04월_계_90~94세","2026년04월_계_95~99세","2026년04월_계_100세 이상"
"서울특별시  (1100000000)","9,298,673","1,934,596","657,780","490,155","355,500","239,972","131,717","47,354","10,661","1,457"
"서울특별시 종로구 (1111000000)","136,716","31,139","10,190","7,389","5,398","4,222","2,646","1,015","245","34"
"서울특별시 종로구 청운효자동(1111051500)","10,773","2,308","681","525","426","353","217","86","17","3"
"서울특별시 종로구 사직동(1111053000)","8,876","2,000","628","425","333","289","209","82","29","5"
"서울특별시 종로구 삼청동(1111054000)","2,078","607","176","145","110","93","48","27","8","0"
"서울특별시 종로구 부암동(1111055000)","8,874","2,052","667","477","351","279","178","69","27","4"
"서울특별시 종로구 평창동(1111056000)","16,973","4,119","1,411","938","647","498","384","196","37","8"
"서울특별시 종로구 무악동(1111057000)","7,715","1,640","528","386","278","234","152","54","8","0"
"서울특별시 종로구 교남동(1111058000)","9,461","1,822","602","438","347","229","149","47","10","0"
"서울특별시 종로구 가회동(1111060000)","3,548","901","272","206","170","134","81","26","11","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,657","1,876","633","501","314","260","110","44","10","4"
"서울특별시 종로구 종로5.6가동(1111063000)","5,431","1,151","387","254","215","165","95","29","6","0"
"서울특별시 종로구 이화동(1111064000)","7,057","1,504","453","372","261","214","142","54","6","2"
"서울특별시 종로구 혜화동(1111065000)","15,766","2,859","802","615","535","478","290","114","19","6"
"서울특별시 종로구 창신제1동(1111067000)","4,371","1,367","525","334","214","157","103","29","5","0"
"서울특별시 종로구 창신제2동(1111068000)","7,093","2,065","723","528","362","243","146","49","14","0"
"서울특별시 종로구 창신제3동(1111069000)","6,083","1,509","549","373","238","191","106","38","14","0"
"서울특별시 종로구 숭인제1동(1111070000)","5,689","1,425","473","361","261","175","106","36","12","1"
"서울특별시 종로구 숭인제2동(1111071000)","10,271","1,934","680","511","336","230","130","35","12","0"
"서울특별시 중구 (1114000000)","117,760","27,559","8,975","6,741","4,956","3,650","2,172","831","212","22"
"서울특별시 중구 소공동(1114052000)","2,207","296","105","75","53","32","21","7","3","0"
"서울특별시 중구 회현동(1114054000)","4,061","1,323","419","346","228","172","98","39","19","2"
"서울특별시 중구 명동(1114055000)","2,482","745","228","190","126","108","55","31","7","0"
"서울특별시 중구 필동(1114057000)","4,335","973","307","250","161","116","79","43","16","1"
"서울특별시 중구 장충동(1114058000)","4,568","967","277","224","195","140","92","34","5","0"
"서울특별시 중구 광희동(1114059000)","5,719","1,264","428","305","234","172","89","27","8","1"
