"행정구역","2026년04월_전체","2026년04월_남자","2026년04월_여자","2026년04월_65세이상전체","2026년04월_65세이상남자","2026년04월_65세이상여자"
"서울특별시  (1100000000)","9,298,673","4,477,462","4,821,211","1,934,596","855,406","1,079,190"
"서울특별시 종로구 (1111000000)","136,716","65,420","71,296","31,139","14,015","17,124"
"서울특별시 종로구 청운효자동(1111051500)","10,773","4,880","5,893","2,308","951","1,357"
"서울특별시 종로구 사직동(1111053000)","8,876","3,915","4,961","2,000","857","1,143"
"서울특별시 종로구 삼청동(1111054000)","2,078","986","1,092","607","261","346"
"서울특별시 종로구 부암동(1111055000)","8,874","4,132","4,742","2,052","887","1,165"
"서울특별시 종로구 평창동(1111056000)","16,973","7,808","9,165","4,119","1,800","2,319"
"서울특별시 종로구 무악동(1111057000)","7,715","3,546","4,169","1,640","699","941"
"서울특별시 종로구 교남동(1111058000)","9,461","4,282","5,179","1,822","744","1,078"
"서울특별시 종로구 가회동(1111060000)","3,548","1,648","1,900","901","380","521"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,657","4,009","2,648","1,876","1,156","720"
"서울특별시 종로구 종로5.6가동(1111063000)","5,431","2,794","2,637","1,151","585","566"
"서울특별시 종로구 이화동(1111064000)","7,057","3,263","3,794","1,504","639","865"
"서울특별시 종로구 혜화동(1111065000)","15,766","7,503","8,263","2,859","1,195","1,664"
"서울특별시 종로구 창신제1동(1111067000)","4,371","2,295","2,076","1,367","675","692"
"서울특별시 종로구 창신제2동(1111068000)","7,093","3,634","3,459","2,065","933","1,132"
"서울특별시 종로구 창신제3동(1111069000)","6,083","2,958","3,125","1,509","683","826"
"서울특별시 종로구 숭인제1동(1111070000)","5,689","2,763","2,926","1,425","616","809"
"서울특별시 종로구 숭인제2동(1111071000)","10,271","5,004","5,267","1,934","954","980"
"서울특별시 중구 (1114000000)","117,760","56,561","61,199","27,559","12,261","15,298"
"서울특별시 중구 소공동(1114052000)","2,207","1,030","1,177","296","143","153"
"서울특별시 중구 회현동(1114054000)","4,061","2,067","1,994","1,323","681","642"
"서울특별시 중구 명동(1114055000)","2,482","1,025","1,457","745","252","493"
"서울특별시 중구 필동(1114057000)","4,335","2,198","2,137","973","448","525"
"서울특별시 중구 장충동(1114058000)","4,568","2,415","2,153","967","440","527"
"서울특별시 중구 광희동(1114059000)","5,719","2,787","2,932","1,264","589","675"
"서울특별시 중구 을지로동(1114060500)","3,026","1,625","1,401","517","310","207"
"서울특별시 중구 신당동(1114061500)","7,348","3,550","3,798","1,736","806","930"
"서울특별시 중구 다산동(1114062500)","12,934","6,257","6,677","3,246","1,424","1,822"
"서울특별시 중구 약수동(1114063500)","15,683","7,226","8,457","4,460","1,847","2,613"
"서울특별시 중구 청구동(1114064500)","10,663","4,954","5,709","2,742","1,145","1,597"
"서울특별시 중구 신당제5동(1114065000)","9,954","4,807","5,147","2,167","948","1,219"
"서울특별시 중구 동화동(1114066500)","9,760","4,662","5,098","2,390","1,085","1,305"
"서울특별시 중구 황학동(1114067000)","13,153","6,158","6,995","2,404","1,065","1,339"
"서울특별시 중구 중림동(1114068000)","11,867","5,800","6,067","2,329","1,078","1,251"
"서울특별시 용산구 (1117000000)","200,187","95,104","105,083","40,065","17,678","22,387"
"서울특별시 용산구 후암동(1117051000)","15,638","7,474","8,164","3,349","1,405","1,944"
"서울특별시 용산구 용산2가동(1117052000)","8,467","4,149","4,318","2,153","897","1,256"
"서울특별시 용산구 남영동(1117053000)","7,010","4,218","2,792","1,685","1,053","632"
"서울특별시 용산구 청파동(1117055500)","18,712","8,548","10,164","3,632","1,551","2,081"
"서울특별시 용산구 원효로제1동(1117056000)","16,977","7,716","9,261","2,278","1,012","1,266"
"서울특별시 용산구 원효로제2동(1117057000)","13,370","6,185","7,185","2,646","1,151","1,495"
"서울특별시 용산구 효창동(1117058000)","10,385","4,873","5,512","1,779","749","1,030"
"서울특별시 용산구 용문동(1117059000)","11,018","5,174","5,844","2,469","1,030","1,439"
"서울특별시 용산구 한강로동(1117062500)","20,838","9,828","11,010","3,542","1,681","1,861"
"서울특별시 용산구 이촌제1동(1117063000)","24,877","11,691","13,186","4,770","2,091","2,679"
"서울특별시 용산구 이촌제2동(1117064000)","7,733","3,622","4,111","1,933","821","1,112"
"서울특별시 용산구 이태원제1동(1117065000)","5,509","2,711","2,798","1,389","607","782"
"서울특별시 용산구 이태원제2동(1117066000)","8,365","3,978","4,387","1,851","770","1,081"
"서울특별시 용산구 한남동(1117068500)","13,711","6,402","7,309","2,766","1,217","1,549"
"서울특별시 용산구 서빙고동(1117069000)","12,191","5,845","6,346","2,451","1,078","1,373"
"서울특별시 용산구 보광동(1117070000)","5,386","2,690","2,696","1,372","565","807"
"서울특별시 성동구 (1120000000)","274,917","132,590","142,327","54,107","23,992","30,115"
"서울특별시 성동구 왕십리제2동(1120052000)","15,652","7,473","8,179","2,985","1,316","1,669"
"서울특별시 성동구 왕십리도선동(1120053500)","25,524","12,015","13,509","4,578","2,031","2,547"
"서울특별시 성동구 마장동(1120054000)","21,418","10,468","10,950","4,560","2,061","2,499"
"서울특별시 성동구 사근동(1120055000)","12,157","6,283","5,874","1,658","714","944"
"서울특별시 성동구 행당제1동(1120056000)","15,689","7,423","8,266","2,713","1,199","1,514"
"서울특별시 성동구 행당제2동(1120057000)","22,305","10,399","11,906","4,511","1,920","2,591"
"서울특별시 성동구 응봉동(1120058000)","14,320","6,766","7,554","2,710","1,150","1,560"
"서울특별시 성동구 금호1가동(1120059000)","14,261","6,758","7,503","3,120","1,308","1,812"
"서울특별시 성동구 금호2.3가동(1120061500)","20,568","9,749","10,819","4,265","1,794","2,471"
"서울특별시 성동구 금호4가동(1120062000)","13,780","6,441","7,339","2,910","1,193","1,717"
"서울특별시 성동구 옥수동(1120064500)","25,204","11,686","13,518","4,887","2,079","2,808"
"서울특별시 성동구 성수1가제1동(1120065000)","14,847","7,308","7,539","2,795","1,333","1,462"
"서울특별시 성동구 성수1가제2동(1120066000)","14,242","6,875","7,367","2,568","1,167","1,401"
"서울특별시 성동구 성수2가제1동(1120067000)","13,438","6,910","6,528","3,270","1,582","1,688"
"서울특별시 성동구 성수2가제3동(1120069000)","9,396","4,598","4,798","2,033","952","1,081"
"서울특별시 성동구 송정동(1120072000)","8,982","4,712","4,270","2,039","987","1,052"
"서울특별시 성동구 용답동(1120079000)","13,134","6,726","6,408","2,505","1,206","1,299"
"서울특별시 광진구 (1121500000)","331,029","158,364","172,665","63,441","28,415","35,026"
"서울특별시 광진구 화양동(1121571000)","22,969","10,831","12,138","2,555","1,173","1,382"
"서울특별시 광진구 군자동(1121573000)","18,533","9,078","9,455","3,601","1,599","2,002"
"서울특별시 광진구 중곡제1동(1121574000)","14,814","7,019","7,795","3,053","1,352","1,701"
"서울특별시 광진구 중곡제2동(1121575000)","19,705","9,261","10,444","4,156","1,850","2,306"
"서울특별시 광진구 중곡제3동(1121576000)","15,188","7,438","7,750","3,589","1,597","1,992"
"서울특별시 광진구 중곡제4동(1121577000)","26,792","12,906","13,886","6,577","2,973","3,604"
"서울특별시 광진구 능동(1121578000)","10,670","4,925","5,745","1,905","838","1,067"
"서울특별시 광진구 광장동(1121581000)","32,909","15,885","17,024","4,617","2,131","2,486"
"서울특별시 광진구 자양제1동(1121582000)","21,442","10,327","11,115","4,229","1,803","2,426"
"서울특별시 광진구 자양제2동(1121583000)","26,262","12,649","13,613","4,992","2,292","2,700"
"서울특별시 광진구 자양제3동(1121584000)","26,578","12,745","13,833","5,248","2,420","2,828"
"서울특별시 광진구 자양제4동(1121584700)","19,868","9,689","10,179","4,501","1,992","2,509"
"서울특별시 광진구 구의제1동(1121585000)","23,028","10,826","12,202","3,923","1,729","2,194"
"서울특별시 광진구 구의제2동(1121586000)","24,812","11,789","13,023","5,368","2,320","3,048"
"서울특별시 광진구 구의제3동(1121587000)","27,459","12,996","14,463","5,127","2,346","2,781"
"서울특별시 동대문구 (1123000000)","351,656","171,281","180,375","74,003","32,924","41,079"
"서울특별시 동대문구 신설동(1123051500)","16,356","8,051","8,305","2,672","1,283","1,389"
"서울특별시 동대문구 용두동(1123053300)","22,649","11,105","11,544","4,752","2,143","2,609"
"서울특별시 동대문구 제기동(1123054500)","22,196","11,440","10,756","5,881","2,633","3,248"
"서울특별시 동대문구 전농제1동(1123056000)","32,448","16,038","16,410","6,771","3,069","3,702"
"서울특별시 동대문구 전농제2동(1123057000)","17,221","8,189","9,032","4,302","1,842","2,460"
"서울특별시 동대문구 답십리제1동(1123060000)","27,260","13,001","14,259","4,865","2,177","2,688"
"서울특별시 동대문구 답십리제2동(1123061000)","27,239","13,022","14,217","6,658","2,890","3,768"
"서울특별시 동대문구 장안제1동(1123065000)","37,036","18,053","18,983","8,121","3,705","4,416"
"서울특별시 동대문구 장안제2동(1123066000)","32,842","16,143","16,699","6,460","2,924","3,536"
"서울특별시 동대문구 청량리동(1123070500)","17,645","8,631","9,014","6,076","2,684","3,392"
"서울특별시 동대문구 회기동(1123071000)","10,286","4,867","5,419","1,603","640","963"
"서울특별시 동대문구 휘경제1동(1123072000)","16,801","7,855","8,946","2,625","1,161","1,464"
