"구분(1)",구분(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"구분(1)",구분(2),총합계,총합계,단독주거시설,단독주거시설,공동주거시설,공동주거시설,공업시설,공업시설,상업업무시설,상업업무시설,혼합지역,혼합지역,문화체육휴양시설,문화체육휴양시설,공항,공항,항만,항만,철도,철도,도로,도로,기타교통통신시설,기타교통통신시설,환경기초시설,환경기초시설,교육행정시설,교육행정시설,기타공공시설,기타공공시설,경지정리가 된 논,경지정리가 된 논,경지정리가 안 된 논,경지정리가 안 된 논,경지정리가 된 밭,경지정리가 된 밭,경지정리가 안 된 밭,경지정리가 안 된 밭,시설재배지,시설재배지,과수원,과수원,목장양식장,목장양식장,기타재배지,기타재배지,활엽수림,활엽수림,침엽수림,침엽수림,혼효림,혼효림,자연초지,자연초지,골프장,골프장,묘지,묘지,기타초지,기타초지,내륙습지,내륙습지,갯벌,갯벌,염전,염전,해변,해변,강기슭,강기슭,암벽바위,암벽바위,채광지역,채광지역,운동장,운동장,기타나지,기타나지,하천,하천,호소,호소,해양수,해양수
"구분(1)",구분(2),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%),면적 (m²),비율 (%)
"전국",합계,100873282128,100.00,529212627,0.52,197290491,0.20,394280327,0.39,632816147,0.63,36424,0.00,103043498,0.10,1396502,0.00,48400497,0.05,61862677,0.06,5598800747,5.55,875733,0.00,14104670,0.01,72467632,0.07,335325136,0.33,5531379689,5.48,2096026895,2.08,1328679919,1.32,5810514736,5.76,823375880,0.82,1419872995,1.41,178145837,0.18,51842897,0.05,28668254477,28.42,21876426993,21.69,7162246300,7.10,250444435,0.25,181217946,0.18,921612565,0.91,9545899787,9.46,1245323200,1.23,35521388,0.04,34191006,0.03,62841102,0.06,225962795,0.22,365398424,0.36,78241100,0.08,50586751,0.05,2584684744,2.56,1178841837,1.17,1107691308,1.10,68144015,0.07
"서울특별시",소계,605755911,100.00,23070077,3.81,32597449,5.38,697707,0.12,38423340,6.34,2028,0.00,7209461,1.19,113353,0.02,10502,0.00,3245995,0.54,201993514,33.35,20358,0.00,1067883,0.18,7916819,1.31,4530464,0.75,-,-,1885504,0.31,-,-,6005569,0.99,1102400,0.18,382039,0.06,42854,0.01,257792,0.04,95369773,15.74,25544046,4.22,19443535,3.21,581147,0.10,636082,0.11,1565810,0.26,69710936,11.51,1830185,0.30,-,-,-,-,-,-,507705,0.08,7384989,1.22,10428,0.00,4196848,0.69,16532433,2.73,31170584,5.15,696301,0.11,-,-
"서울특별시",종로구,23990643,100.00,1209624,5.04,576353,2.40,1197,0.00,1615748,6.73,30,0.00,311888,1.30,-,-,-,-,-,-,5708892,23.80,-,-,425,0.00,311839,1.30,176719,0.74,-,-,-,-,-,-,69511,0.29,1917,0.01,-,-,14,0.00,7381,0.03,5358136,22.33,2624111,10.94,2258018,9.41,13979,0.06,-,-,447,0.00,2000640,8.34,23382,0.10,-,-,-,-,-,-,8107,0.03,1047133,4.36,-,-,85663,0.36,511136,2.13,39579,0.16,28773,0.12,-,-
"서울특별시",중구,9990181,100.00,374019,3.74,315433,3.16,228,0.00,2037074,20.39,84,0.00,148692,1.49,-,-,-,-,14923,0.15,4475764,44.80,846,0.01,35,0.00,161063,1.61,105242,1.05,-,-,-,-,-,-,3248,0.03,822,0.01,-,-,-,-,1229,0.01,979664,9.81,54499,0.55,98636,0.99,5793,0.06,-,-,-,-,873769,8.75,3115,0.03,-,-,-,-,-,-,-,-,8032,0.08,-,-,53765,0.54,259837,2.60,12263,0.12,2108,0.02,-,-
"서울특별시",용산구,21892570,100.00,1151701,5.26,804262,3.67,11918,0.05,1254619,5.73,-,-,253670,1.16,-,-,-,-,320119,1.46,6339951,28.96,6907,0.03,5557,0.03,184944,0.84,100607,0.46,-,-,-,-,-,-,14612,0.07,-,-,-,-,-,-,-,-,2556733,11.68,1233335,5.63,857010,3.91,23728,0.11,-,-,1055,0.00,2221011,10.15,977,0.00,-,-,-,-,-,-,3208,0.01,-,-,-,-,91468,0.42,729418,3.33,3703226,16.92,22535,0.10,-,-
"서울특별시",성동구,16817153,100.00,668231,3.97,692342,4.12,88578,0.53,1446697,8.60,-,-,241733,1.44,-,-,-,-,296179,1.76,6443043,38.31,-,-,282030,1.68,272674,1.62,156797,0.93,-,-,-,-,-,-,16149,0.10,1505,0.01,-,-,17,0.00,277,0.00,541811,3.22,17467,0.10,43834,0.26,54839,0.33,-,-,-,-,2488521,14.80,91199,0.54,-,-,-,-,-,-,10242,0.06,11170,0.07,-,-,89826,0.53,527433,3.14,2313163,13.75,21396,0.13,-,-
"서울특별시",광진구,17049030,100.00,1164725,6.83,1029144,6.04,1068,0.01,1137174,6.67,374,0.00,269485,1.58,-,-,-,-,40438,0.24,6623066,38.85,-,-,6754,0.04,302712,1.78,136854,0.80,-,-,-,-,-,-,20137,0.12,1623,0.01,-,-,-,-,-,-,928195,5.44,1137122,6.67,215223,1.26,12223,0.07,-,-,563,0.00,1492782,8.76,14673,0.09,-,-,-,-,-,-,1414,0.01,414754,2.43,-,-,113176,0.66,259005,1.52,1673737,9.82,52609,0.31,-,-
