"대장관리번호","시설물 종류 코드","코드명","수량(개)","면적(㎡)","연장(m)","빗물 관리량(㎥/h)","저류 용량(㎥)","자치구코드","자치구명","준공일"
"1807","FGN999","기타","0","813","0","3","50","11200","성동구","2026-05-12 00:00:00.0"
"1794","FGN003","침투트렌치","210","0","1","9","","11560","영등포구","2025-05-02 00:00:00.0"
"1791","FGN999","기타","1","16","","1","","11230","동대문구","2024-11-11 00:00:00.0"
"1790","FGN06","저류조","1","","","1","14","11260","중랑구","2025-01-08 00:00:00.0"
"1789","FGN999","기타","90","0","0","2","0","11560","영등포구","2024-12-17 00:00:00.0"
"1788","FGN004","원형침투통","7","0","0","1","0","11290","성북구","2025-01-07 00:00:00.0"
"1787","FGN001","투수성포장","0","1095","420","19","","11350","노원구","2024-07-23 00:00:00.0"
"1786","FGN999","기타","100","52","100","3","0","11230","동대문구","2024-12-31 00:00:00.0"
"1785","FGN07","옥상녹화","0","439","","1","22","11740","강동구","2024-09-12 00:00:00.0"
"1784","FGN06","저류조","0","","","0","35","11740","강동구","2024-08-14 00:00:00.0"
"1782","FGN001","투수성포장","0","328","0","6","0","11260","중랑구","2024-06-13 00:00:00.0"
"1781","FGN07","옥상녹화","0","45","0","0","2","11260","중랑구","2024-02-10 00:00:00.0"
"1779","FGN999","기타","272","0","0","5","0","11380","은평구","2023-12-10 00:00:00.0"
"1778","FGN07","옥상녹화","50","0","0","3","0","11290","성북구","2023-12-18 00:00:00.0"
"1772","FGN001","투수성포장","15","609","0","0","0","11680","강남구","2024-01-16 00:00:00.0"
"1767","FGN999","기타","14","0","","1540","","11290","성북구","2023-10-18 00:00:00.0"
"1766","FGN001","투수성포장","1","1524","969","26","","11350","노원구","2023-12-31 00:00:00.0"
"1764","FGN005","정방형침투통","0","109","","7","","11200","성동구","2023-05-22 00:00:00.0"
"1763","FGN999","기타","0","462","","0","","11200","성동구","2023-07-10 00:00:00.0"
"1760","FGN999","기타","0","","450","0","","11200","성동구","2022-09-13 00:00:00.0"
"1759","FGN999","기타","0","194","","0","","11200","성동구","2023-06-12 00:00:00.0"
"1758","FGN06","저류조","0","332","0","1","1","11260","중랑구","2023-12-26 00:00:00.0"
"1755","FGN06","저류조","2","","","94","1657","11650","서초구","2023-08-30 00:00:00.0"
"1752","FGN001","투수성포장","0","566","","10","","11290","성북구","2022-12-31 00:00:00.0"
"1751","FGN001","투수성포장","0","1700","","29","","11350","노원구","2022-12-31 00:00:00.0"
"1750","FGN001","투수성포장","0","1948","","33","","11650","서초구","2022-12-26 00:00:00.0"
"1749","FGN001","투수성포장","0","233","0","4","0","11260","중랑구","2023-03-31 00:00:00.0"
"1737","FGN07","옥상녹화","0","0","0","1","9","11260","중랑구","2022-11-09 00:00:00.0"
"1730","FGN001","투수성포장","0","1500","500","0","0","11650","서초구","2021-12-15 00:00:00.0"
"1729","FGN001","투수성포장","0","820","236","0","","11650","서초구","2021-12-20 00:00:00.0"
"1725","FGN999","기타","1","260","173","23","23","11440","마포구","2021-11-08 00:00:00.0"
"1721","FGN001","투수성포장","507","499","162","9","","11260","중랑구","2021-10-27 00:00:00.0"
"1720","FGN001","투수성포장","3000","120","30","2","0","11260","중랑구","2021-09-30 00:00:00.0"
"1719","FGN001","투수성포장","5200","1035","207","18","","11260","중랑구","2021-08-30 00:00:00.0"
"1718","FGN001","투수성포장","28675","1147","459","20","","11260","중랑구","2021-09-01 00:00:00.0"
"1717","FGN001","투수성포장","0","2596","355","44","","11260","중랑구","2021-10-29 00:00:00.0"
"1714","FGN003","침투트렌치","95","0","","5","","11215","광진구","2019-11-20 00:00:00.0"
"1713","FGN003","침투트렌치","113","","113","5","","11230","동대문구","2021-04-21 00:00:00.0"
"1712","FGN001","투수성포장","70","70","","1","","11230","동대문구","2021-11-25 00:00:00.0"
"1711","FGN07","옥상녹화","61","61","","0","","11230","동대문구","2020-10-30 00:00:00.0"
"1710","FGN07","옥상녹화","4","86","","0","4","11230","동대문구","2020-08-13 00:00:00.0"
"1704","FGN07","옥상녹화","0","22","","0","","11500","강서구","2021-07-30 00:00:00.0"
"1701","FGN001","투수성포장","2","1418","","32","138","11350","노원구","2021-01-28 00:00:00.0"
"1700","FGN06","저류조","1","394","0","1","26","11110","종로구","2021-01-15 00:00:00.0"
"1695","FGN001","투수성포장","1","43","","1","","11200","성동구","2020-03-17 00:00:00.0"
"1694","FGN003","침투트렌치","1","0","9","0","0","11200","성동구","2020-01-20 00:00:00.0"
"1692","FGN005","정방형침투통","1","","","0","","11200","성동구","2019-07-26 00:00:00.0"
"1687","FGN07","옥상녹화","0","28","0","1","0","11650","서초구","2019-07-02 00:00:00.0"
"1686","FGN07","옥상녹화","0","0","","0","","11650","서초구","2019-06-17 00:00:00.0"
"1685","FGN999","기타","0","587","0","2","0","11650","서초구","2019-05-16 00:00:00.0"
"1683","FGN07","옥상녹화","0","56","0","0","3","11650","서초구","2019-04-05 00:00:00.0"
"1682","FGN001","투수성포장","1","209","","0","","11200","성동구","2019-05-20 00:00:00.0"
"1681","FGN005","정방형침투통","6","","","858","","11200","성동구","2019-09-30 00:00:00.0"
"1679","FGN005","정방형침투통","4","0","0","1","0","11650","서초구","2019-03-15 00:00:00.0"
"1678","FGN004","원형침투통","3","0","0","0","0","11650","서초구","2019-03-08 00:00:00.0"
"1677","FGN07","옥상녹화","0","316","0","1","16","11650","서초구","2019-04-30 00:00:00.0"
"1676","FGN004","원형침투통","1","0","0","0","0","11650","서초구","2019-02-20 00:00:00.0"
"1675","FGN005","정방형침투통","2","0","0","1","0","11650","서초구","2019-10-31 00:00:00.0"
"1674","FGN003","침투트렌치","8","","38","3","","11650","서초구","2019-08-10 00:00:00.0"
"1672","FGN07","옥상녹화","0","","","0","1","11650","서초구","2019-02-01 00:00:00.0"
"1671","FGN003","침투트렌치","0","","29","2","","11650","서초구","2019-02-01 00:00:00.0"
"1670","FGN001","투수성포장","0","440","0","7","0","11650","서초구","2018-12-31 00:00:00.0"
"1669","FGN005","정방형침투통","9","0","0","1","0","11650","서초구","2018-12-31 00:00:00.0"
"1668","FGN003","침투트렌치","75","0","75","1","","11260","중랑구","2019-12-18 00:00:00.0"
"1667","FGN07","옥상녹화","0","0","","2","40","11140","중구","2019-02-15 00:00:00.0"
