"공간id","펌프이름","기타","생성일자"
"16722","중곡","1203",""
"16723","봉원","1509",""
"16724","광장","1204",""
"16725","신길","1907",""
"16726","신림","2301",""
"16727","중화2","704",""
"16728","개봉2","2007",""
"16729","증산","1301",""
"16730","용답","902",""
"16731","박미","2206",""
"16732","목동","1801",""
"16733","양화","1804",""
"16734","방화","1706",""
"16735","당인","1510",""
"16736","구로4","2008",""
"16737","문배","1610",""
"16738","풍납","2503",""
"16739","양재","2408",""
"16740","장위","602",""
"16741","잠원","2404",""
"16742","고덕","203",""
"16743","대치","101",""
"16744","사평","2407",""
"16745","석관","601",""
"16746","신천","2502",""
"16747","잠실","2501",""
"16748","서초","2402",""
"16749","몽촌2","2505",""
"16750","몽촌1","2504",""
"16751","탄천","2506",""
"16752","성내","202",""
"16753","오목","1803",""
"16754","오금","1802",""
"16755","천호","201",""
"16756","보광","1605",""
"16757","한남","1603",""
"16758","한강로","1609",""
"16759","삼각지","1611",""
"16641","뚝섬","901",""
"16642","금호","907",""
"16643","마곡","1703",""
"16644","고척1","2010",""
"16645","성산","1505",""
"16646","송정","908",""
"16647","중동","1508",""
"16648","면목4","703",""
"16649","자양","1201",""
"16650","난지","1507",""
"16651","염창1","1704",""
"16652","가양","1701",""
"16653","망원1","1502",""
"16654","망원2","1503",""
"16655","공항","1705",""
"16656","도림2동","1904",""
"16657","새말","905",""
"16658","송천","501",""
"16659","수서","102",""
"16660","심원","1604",""
"16661","신림5","2302",""
"16662","대림3동","1903",""
"16663","염창2","1702",""
"16664","구로1","2001",""
"16665","합정","1504",""
"16666","상수","1506",""
"16667","신도림","2004",""
"16668","마포","1501",""
"16669","문래","1905",""
"16670","양평2","1902",""
"16671","원효","1602",""
"16672","양평1","1901",""
"16673","방배","2403",""
"16674","반포","2401",""
"16675","신이문","802",""
"16676","신답","816",""
"16677","공릉","401",""
"16678","용두","801",""
"16679","제기1","807",""
"16680","답십리4","809",""
"16681","휘경","803",""
"16682","장안1","815",""
"16683","신이문2","812",""
"16684","장안4","814",""
"16685","공릉2","402",""
"16686","장안2","806",""
"16687","빙창","1608",""
"16688","용산","1601",""
"16689","장안","805",""
"16690","동빙고","1606",""
"16691","휘경1","813",""
"16692","서래","2405",""
"16693","응봉","904",""
"16694","조원동","2011",""
"16695","옥수","903",""
"16696","자양4","1205",""
"16697","마곡2","1707",""
"16698","율현","105",""
"16699","신림2","2303",""
"16700","전농","804",""
"16701","용두3","817",""
"16702","신설2-1","811",""
"16703","구의","1202",""
"16704","대치1","106",""
"16705","대방","2104",""
"16706","영등포","1908",""
"16707","가산1","2203",""
"16708","흑석","2101",""
"16709","노량진","2103",""
"16710","신구로","2005",""
"16711","독산","2201",""
"16712","시흥","2202",""
"16713","대림2동","1906",""
"16714","면목","701",""
"16715","구로2","2002",""
"16716","중화","702",""
"16717","개봉1","2006",""
"16718","가산2","2204",""
"16719","행당","909",""
"16720","구로3","2003",""
"16721","사근","906",""
