법정동명,법정동코드,반지하개수
서울특별시 강남구 개포동,1168010300,278
서울특별시 강남구 논현동,1168010800,87
서울특별시 강남구 대치동,1168010600,173
서울특별시 강남구 도곡동,1168011800,126
서울특별시 강남구 삼성동,1168010500,228
서울특별시 강남구 세곡동,1168011100,218
서울특별시 강남구 수서동,1168011500,149
서울특별시 강남구 신사동,1168010700,17
서울특별시 강남구 압구정동,1168011000,2
서울특별시 강남구 역삼동,1168010100,216
서울특별시 강남구 율현동,1168011300,117
서울특별시 강남구 일원동,1168011400,125
서울특별시 강남구 자곡동,1168011200,194
서울특별시 강남구 청담동,1168010400,87
서울특별시 강동구 강일동,1174011000,672
서울특별시 강동구 고덕동,1174010200,114
서울특별시 강동구 길동,1174010500,160
서울특별시 강동구 둔촌동,1174010600,157
서울특별시 강동구 명일동,1174010100,67
서울특별시 강동구 상일동,1174010300,307
서울특별시 강동구 성내동,1174010800,187
서울특별시 강동구 암사동,1174010700,140
서울특별시 강동구 천호동,1174010900,252
서울특별시 강북구 미아동,1130510100,566
서울특별시 강북구 번동,1130510200,150
서울특별시 강북구 수유동,1130510300,50
서울특별시 강북구 우이동,1130510400,21
서울특별시 강서구 가양동,1150010400,77
서울특별시 강서구 공항동,1150010800,38
서울특별시 강서구 내발산동,1150010600,212
서울특별시 강서구 등촌동,1150010200,245
서울특별시 강서구 마곡동,1150010500,838
서울특별시 강서구 방화동,1150010900,287
서울특별시 강서구 염창동,1150010100,107
서울특별시 강서구 화곡동,1150010300,333
서울특별시 관악구 남현동,1162010300,33
서울특별시 관악구 봉천동,1162010100,704
서울특별시 관악구 신림동,1162010200,462
서울특별시 광진구 광장동,1121510400,80
서울특별시 광진구 구의동,1121510300,81
서울특별시 광진구 군자동,1121510900,7
서울특별시 광진구 능동,1121510200,2
서울특별시 광진구 자양동,1121510500,187
서울특별시 광진구 중곡동,1121510100,13
서울특별시 광진구 화양동,1121510700,8
서울특별시 구로구 가리봉동,1153010300,31
서울특별시 구로구 개봉동,1153010700,226
서울특별시 구로구 고척동,1153010600,195
서울특별시 구로구 구로동,1153010200,204
서울특별시 구로구 궁동,1153010900,59
서울특별시 구로구 신도림동,1153010100,73
서울특별시 구로구 오류동,1153010800,257
서울특별시 구로구 온수동,1153011000,85
서울특별시 구로구 천왕동,1153011100,423
서울특별시 구로구 항동,1153011200,397
서울특별시 금천구 가산동,1154510100,51
서울특별시 금천구 독산동,1154510200,299
서울특별시 금천구 시흥동,1154510300,302
서울특별시 노원구 공릉동,1135010300,316
서울특별시 노원구 상계동,1135010500,519
서울특별시 노원구 월계동,1135010200,216
서울특별시 노원구 중계동,1135010600,586
서울특별시 노원구 하계동,1135010400,259
서울특별시 도봉구 도봉동,1132010800,201
서울특별시 도봉구 방학동,1132010600,134
서울특별시 도봉구 쌍문동,1132010500,216
서울특별시 도봉구 창동,1132010700,241
서울특별시 동대문구 답십리동,1123010500,244
서울특별시 동대문구 신설동,1123010100,12
서울특별시 동대문구 용두동,1123010200,105
서울특별시 동대문구 이문동,1123011000,266
서울특별시 동대문구 장안동,1123010600,177
서울특별시 동대문구 전농동,1123010400,117
서울특별시 동대문구 제기동,1123010300,147
서울특별시 동대문구 청량리동,1123010700,137
서울특별시 동대문구 회기동,1123010800,2
서울특별시 동대문구 휘경동,1123010900,157
서울특별시 동작구 노량진동,1159010100,210
서울특별시 동작구 대방동,1159010800,151
서울특별시 동작구 동작동,1159010600,69
서울특별시 동작구 본동,1159010400,64
서울특별시 동작구 사당동,1159010700,329
서울특별시 동작구 상도1동,1159010300,1
서울특별시 동작구 상도동,1159010200,493
서울특별시 동작구 신대방동,1159010900,93
서울특별시 동작구 흑석동,1159010500,207
서울특별시 마포구 공덕동,1144010200,124
서울특별시 마포구 대흥동,1144010800,93
서울특별시 마포구 도화동,1144010400,45
서울특별시 마포구 동교동,1144012100,1
서울특별시 마포구 마포동,1144010700,11
서울특별시 마포구 망원동,1144012300,85
서울특별시 마포구 상수동,1144011500,35
서울특별시 마포구 상암동,1144012700,180
서울특별시 마포구 서교동,1144012000,19
서울특별시 마포구 성산동,1144012500,45
서울특별시 마포구 신공덕동,1144010300,83
서울특별시 마포구 신수동,1144011100,82
서울특별시 마포구 신정동,1144011700,19
서울특별시 마포구 아현동,1144010100,127
서울특별시 마포구 연남동,1144012400,16
서울특별시 마포구 염리동,1144010900,69
서울특별시 마포구 용강동,1144010500,31
서울특별시 마포구 중동,1144012600,48
서울특별시 마포구 창전동,1144011400,83
서울특별시 마포구 하중동,1144011600,1
서울특별시 마포구 합정동,1144012200,17
서울특별시 마포구 현석동,1144011200,44
서울특별시 서대문구 남가좌동,1141012000,184
서울특별시 서대문구 냉천동,1141010500,83
서울특별시 서대문구 대신동,1141011300,1
서울특별시 서대문구 대현동,1141011200,23
서울특별시 서대문구 북가좌동,1141011900,257
서울특별시 서대문구 북아현동,1141011000,142
